Dim.Class,Int/Ext,Longitude (°),Latitude (°),start,end,Depth (%wt),Distance (m),Girth Weld No.
Pitting,Int,26.11223,41.35061,268.5,263.5,13,3807.83,3170
Pitting,Int,26.1133,41.35073,270,267,9,3808.06,3170
General,Int,26.11333,41.35073,353.5,239.5,10,3843.05,3200
Pitting,Int,26.11299,41.35069,325.5,321.5,19,3892.91,3240
Pitting,Int,26.11314,41.35071,307,303,13,3895.58,3240
General,Int,26.11343,41.35073,288,244,10,4213.81,3500
General,Int,26.11359,41.35072,350.5,308.5,15,4214.62,3500
General,Ext,26.11371,41.35073,13,7,6,4218.56,3500
General,Int,26.11379,41.35074,173,167,6,4219.63,3500
General,Ext,26.11401,41.35074,327.5,322.5,20,4219.97,3500
General,Ext,26.11448,41.35073,33,26,13,4220.11,3500
Pitting,Int,26.11441,41.35072,314,310,6,4242.82,3520
Pitting,Int,26.11447,41.35072,315,312,17,4253.51,3530
General,Int,26.1143,41.35072,291,248,5,4256.92,3530
General,Int,26.11421,41.35074,351.5,308.5,5,4257.03,3530
Pitting,Int,26.11426,41.35073,314.5,309.5,8,4489.42,3720
General,Int,26.11435,41.35072,346,314,7,4490.62,3720
General,Int,26.1147,41.35075,287.5,244.5,19,4492.31,3720
General,Int,26.1148,41.35075,82,42,10,4706.3,3900
General,Int,26.11457,41.35074,30.5,347.5,6,4706.37,3900
General,Int,26.11453,41.35074,275,226,6,4707.11,3900
General,Int,26.1145,41.35073,347,314,20,4839.39,4000
General,Int,26.11463,41.35074,340.5,297.5,18,4883.94,4040
General,Ext,26.11516,41.35077,74.5,68.5,5,5163.93,4270
General,Ext,26.11525,41.35077,217,211,7,5223.22,4310
Circumferential Grooving,Int,26.11507,41.35075,329.5,320.5,11,5261.68,4340
General,Int,26.1151,41.35075,277,271,7,5336.75,4410
Pitting,Int,26.11493,41.35075,276.5,271.5,16,5336.9,4410
General,Int,26.11502,41.35075,278,273,20,5378.55,4440
Pitting,Int,26.11513,41.35076,277.5,273.5,6,5378.93,4440
Pitting,Int,26.11546,41.35078,277.5,273.5,7,5382.4,4440
General,Int,26.11538,41.35078,307.5,302.5,18,5498.76,4540
Pitting,Int,26.1155,41.35079,289,285,8,5501.41,4540
General,Int,26.11563,41.35083,317.5,312.5,14,5504.48,4540
General,Ext,26.11558,41.35081,109.5,101.5,11,5523.49,4560
General,Int,26.11571,41.35083,101,5,15,5598.76,4620
General,Int,26.11584,41.35083,299.5,237.5,10,5599.5,4620
General,Ext,26.11604,41.35083,356.5,329.5,7,5639.35,4650
Pitting,Int,26.11621,41.35083,22,17,17,5968.41,4920
General,Int,26.11631,41.35083,218.5,211.5,20,5970.58,4920
Pitting,Ext,26.12031,41.35092,285,280,7,6066.99,5000
Pitting,Int,26.12031,41.35092,219.5,216.5,9,6091.94,5020
General,Int,26.12031,41.35092,331.5,252.5,9,6252.81,5150
Pitting,Int,26.12031,41.35092,284.5,280.5,18,6312.56,5200
Circumferential Grooving,Int,26.12026,41.35093,313,303,6,6313.62,5200
Pitting,Ext,26.12026,41.35093,64,60,15,6414.88,5280
General,Ext,26.12025,41.35093,45,39,7,6415.09,5280
Pitting,Int,26.12026,41.35093,307,303,11,6501.92,5350
General,Int,26.12031,41.35092,242.5,235.5,10,6528.41,5370
Pitting,Int,26.12031,41.35092,271,266,21,6528.59,5370
Pitting,Int,26.1236,41.3513,298,293,16,6528.77,5370
General,Int,26.12337,41.35128,268,258,8,6528.9,5370
General,Int,26.12318,41.35126,211,205,12,6562.43,5400
General,Int,26.1116,41.35048,278.5,269.5,21,6575.84,5410
Pitting,Int,26.11183,41.35052,284,281,12,6576.47,5410
General,Int,26.10712,41.35057,285,280,14,6576.59,5410
General,Int,26.10739,41.35055,266,260,7,6587.65,5420
Pitting,Int,26.10723,41.35057,324,320,15,6588.55,5420
Pitting,Ext,26.10719,41.35057,312,307,19,6650.43,5470
Pitting,Ext,26.10721,41.35057,277.5,273.5,13,6650.63,5470
Pitting,Ext,26.10722,41.35057,310,306,5,6650.65,5470
General,Ext,26.10724,41.35057,287,281,9,6651.61,5470
Pitting,Ext,26.10725,41.35056,276,272,15,6651.68,5470
General,Ext,26.10726,41.35056,316,311,7,6652.51,5470
Pitting,Ext,26.10727,41.35056,284.5,280.5,7,6652.52,5470
Pitting,Int,26.10728,41.35056,286,282,20,6653.96,5470
General,Ext,26.10729,41.35056,281,276,13,6654.91,5470
Pitting,Ext,26.1073,41.35056,310,306,18,6655.61,5470
Pitting,Int,26.10712,41.35057,281.5,278.5,7,6655.75,5470
Pitting,Ext,26.10715,41.35057,284.5,280.5,6,6662.58,5480
Pitting,Ext,26.10713,41.35057,284.5,280.5,12,6663.7,5480
Pitting,Ext,26.10716,41.35057,277,271,20,6664.88,5480
Pitting,Ext,26.10717,41.35057,283,279,21,6665.57,5480
Pitting,Ext,26.10718,41.35057,272,268,16,6669,5480
Pitting,Ext,26.10762,41.35054,311.5,307.5,11,6670.43,5480
Pitting,Ext,26.11069,41.35044,283,279,18,6670.46,5480
Pitting,Ext,26.10954,41.35046,284,281,7,6671.62,5480
